# x_m,y_m,w_tr_right_m,w_tr_left_m
5.6100,3.5600,0.9000,0.9000
5.5600,3.5600,0.9000,0.9000
5.5100,3.5600,0.9000,0.9000
5.4600,3.5600,0.9000,0.9000
5.4100,3.5600,0.9000,0.9000
5.3600,3.5600,0.9000,0.9000
5.3100,3.5100,0.8500,0.8500
5.2600,3.5100,0.8500,0.8500
5.2100,3.5100,0.8500,0.8500
5.1600,3.5100,0.8500,0.8500
5.1100,3.5100,0.8500,0.8500
5.0600,3.5100,0.8500,0.8500
5.0100,3.5100,0.8500,0.8500
4.9600,3.5100,0.8500,0.8500
4.9100,3.5100,0.8500,0.8500
4.8600,3.5100,0.8500,0.8500
4.8100,3.5100,0.8500,0.8500
4.7600,3.5100,0.8500,0.8500
4.7100,3.5100,0.8515,0.8515
4.6600,3.4600,0.8062,0.8062
4.6100,3.4600,0.8139,0.8139
4.5600,3.4600,0.8246,0.8246
4.5100,3.4600,0.8382,0.8382
4.4600,3.4600,0.8500,0.8500
4.4100,3.4600,0.8500,0.8500
4.3600,3.4600,0.8515,0.8515
4.3100,3.4600,0.8559,0.8559
4.2600,3.4600,0.8631,0.8631
4.2100,3.4600,0.8732,0.8732
4.1600,3.4600,0.8631,0.8631
4.1100,3.4600,0.8559,0.8559
4.0600,3.4600,0.8515,0.8515
4.0100,3.4600,0.8500,0.8500
3.9600,3.4600,0.8500,0.8500
3.9100,3.4600,0.8500,0.8500
3.8600,3.4600,0.8500,0.8500
3.8100,3.4600,0.8500,0.8500
3.7600,3.4600,0.8500,0.8500
3.7100,3.4600,0.8500,0.8500
3.6600,3.4100,0.9000,0.9000
3.6100,3.4100,0.9000,0.9000
3.5600,3.4100,0.9000,0.9000
3.5100,3.4100,0.9000,0.9000
3.4600,3.4100,0.9000,0.9000
3.4100,3.4100,0.9000,0.9000
3.3600,3.4100,0.9000,0.9000
3.3100,3.4100,0.9000,0.9000
3.2600,3.4100,0.9000,0.9000
3.2100,3.4100,0.9014,0.9014
3.1600,3.3600,0.9552,0.9552
3.1100,3.3600,0.9618,0.9618
3.0600,3.3600,0.9708,0.9708
3.0100,3.3600,0.9823,0.9823
2.9600,3.3100,1.0440,1.0440
2.9100,3.3100,1.0500,1.0500
2.8600,3.3100,1.0440,1.0440
2.8100,3.2600,1.0512,1.0512
2.7600,3.2600,1.0689,1.0689
2.7100,3.2600,1.0595,1.0595
2.6600,3.2600,1.0440,1.0440
2.6100,3.2600,1.0308,1.0308
2.5600,3.2600,1.0198,1.0198
2.5100,3.2600,1.0112,1.0112
2.4600,3.2600,0.9962,0.9962
2.4100,3.2100,1.0308,1.0308
2.3600,3.2100,1.0198,1.0198
2.3100,3.2100,1.0112,1.0112
2.2600,3.2100,1.0050,1.0050
2.2100,3.2100,1.0012,1.0012
2.1600,3.2100,1.0000,1.0000
2.1100,3.1600,1.0500,1.0500
2.0600,3.1600,1.0500,1.0500
2.0100,3.1600,1.0500,1.0500
1.9600,3.1600,1.0500,1.0500
1.9100,3.1100,1.1000,1.1000
1.8600,3.1100,1.1000,1.1000
1.8100,3.1100,1.1000,1.1000
1.7600,3.1100,1.1000,1.1000
1.7100,3.1100,1.1000,1.1000
1.6600,3.1100,1.1000,1.1000
1.6100,3.0600,1.1500,1.1500
1.5600,3.0600,1.1500,1.1500
1.5100,3.0600,1.1500,1.1500
1.4600,3.0600,1.1500,1.1500
1.4100,3.0600,1.1402,1.1402
1.3600,3.0600,1.1281,1.1281
1.3100,3.0600,1.1180,1.1180
1.2600,3.0600,1.1102,1.1102
1.2100,3.0100,1.1543,1.1543
1.1600,3.0100,1.1511,1.1511
1.1100,3.0100,1.1500,1.1500
1.0600,2.9600,1.2000,1.2000
1.0100,2.9600,1.2000,1.2000
0.9600,2.9100,1.2000,1.2000
0.9100,2.8600,1.1500,1.1500
0.8600,2.8100,1.1000,1.1000
